id;name;description
1;Cementos y cales;Materiales aglomerantes para obra gruesa y terminaciones
2;Ladrillos y bloques;Mamposteria tradicional y bloques para construccion
3;Aridos;Arena piedra y granza para mezclas
4;Hierros y acero;Barras mallas y perfiles estructurales
5;Placas y yeseria;Sistemas en seco placas masillas y perfiles
6;Impermeabilizacion;Membranas pinturas asfalticas y selladores
7;Pinturas;Revestimientos latex esmaltes y accesorios
8;Adhesivos y pastinas;Pegamentos para ceramicos porcelanatos y juntas
9;Herramientas;Herramientas manuales para obra
10;Sanitarios y plomeria;Canerias griferia y accesorios de instalacion
